GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OOMlet,com.github.trcjr.oomlet.dto,CpuBurnResponse,15,21,0,0,8,8,4,4,4,4
OOMlet,com.github.trcjr.oomlet,OomletApplication,5,3,0,0,2,1,1,1,1,1
OOMlet,com.github.trcjr.oomlet,HealthToggleService,0,13,0,0,0,5,0,3,0,3
OOMlet,com.github.trcjr.oomlet,ToggleableHealthIndicator,0,19,0,2,0,6,0,3,0,2
OOMlet,com.github.trcjr.oomlet,StatusController,14,30,1,1,5,7,1,3,0,3
OOMlet,com.github.trcjr.oomlet,EndpointHealthIndicator,118,61,13,3,32,18,11,4,3,4
OOMlet,com.github.trcjr.oomlet,HttpEndpointCheck,46,0,0,0,20,0,10,0,10,0
OOMlet,com.github.trcjr.oomlet,SignalHandlerService,16,95,0,7,6,36,2,12,2,6
OOMlet,com.github.trcjr.oomlet.controller,LoggingLevelController,1,73,1,3,0,16,1,5,0,4
OOMlet,com.github.trcjr.oomlet.controller,MemoryController,11,99,1,3,3,21,1,4,0,3
OOMlet,com.github.trcjr.oomlet.controller,HealthToggleController,0,18,0,0,0,7,0,3,0,3
OOMlet,com.github.trcjr.oomlet.controller,FileHandleController,15,99,0,4,5,22,0,5,0,3
OOMlet,com.github.trcjr.oomlet.controller,UlimitController,26,100,3,5,5,22,3,6,0,5
OOMlet,com.github.trcjr.oomlet.controller,CpuBurnController,17,78,0,6,4,20,0,7,0,4
